schema,model_name,relation_type,column_count,columns,description
gold,bridge_product_category,BASE TABLE,7,"assigned_ts, category, category_key, is_primary, product_id, product_key, subcategory",
gold,dim_category,BASE TABLE,4,"category, category_cost_rate, category_key, subcategory",
gold,dim_customer,BASE TABLE,16,"acquisition_channel, anonymous_id, city, city_code, country, created_ts, customer_id, customer_key, is_current, marketing_opt_in, preferred_device, region, segment, signup_ts, valid_from_ts, valid_to_ts",
gold,dim_date,BASE TABLE,6,"calendar_date, date_key, day_of_week, is_weekend, month, year",
gold,dim_order_status,BASE TABLE,2,"order_status, order_status_key",
gold,dim_payment_method,BASE TABLE,2,"payment_method, payment_method_key",
gold,dim_product,BASE TABLE,17,"base_price, brand, category_attributes, created_ts, fulfillment_channel, is_active, is_current, price_band, primary_category, primary_subcategory, product_id, product_key, product_name, seller_id, seller_key, valid_from_ts, valid_to_ts",
gold,dim_promotion,BASE TABLE,13,"category, created_ts, discount_rate, funding_detail, funding_type, platform_funding_share, promotion_end_ts, promotion_id, promotion_key, promotion_name, promotion_start_ts, seller_funding_share, seller_id",
gold,dim_seller,BASE TABLE,16,"city, created_ts, fulfillment_speed_days, inventory_reliability, is_current, is_official_store, price_band, primary_category, region, seller_id, seller_key, seller_name, seller_rating, seller_tier, valid_from_ts, valid_to_ts",
gold,dim_shipment_status,BASE TABLE,2,"shipment_status, shipment_status_key",
gold,dim_shipping_method,BASE TABLE,2,"shipping_method, shipping_method_key",
gold,fact_inventory_snapshot,BASE TABLE,11,"available_stock, inventory_snapshot_key, product_id, product_key, reserved_stock, seller_id, seller_key, snapshot_date_key, snapshot_id, snapshot_ts, stock_on_hand",
gold,fact_order,BASE TABLE,27,"anonymous_id, coupon_code, created_ts, customer_id, customer_key, fulfillment_channel, gross_merchandise_value, has_successful_payment, is_paid_order, item_count, official_paid_revenue, order_date_key, order_discount_amount, order_gross_amount, order_id, order_key, order_net_amount, order_status, order_status_key, order_timestamp, payment_attempt_count, primary_category, promotion_id, session_id, shipping_city, shipping_method, shipping_region",
gold,fact_order_item,BASE TABLE,25,"category_cost_rate, category_key, created_ts, customer_key, discount_amount, estimated_cost, estimated_margin, gross_amount, line_gmv, line_paid_revenue, net_amount, order_date_key, order_id, order_item_id, order_item_key, order_key, primary_category, primary_subcategory, product_id, product_key, promotion_id, promotion_key, quantity, seller_id, unit_price",
gold,fact_payment_attempt,BASE TABLE,16,"amount, created_ts, customer_id, customer_key, failure_reason, is_payment_failed, is_payment_success, order_id, order_key, payment_attempt_key, payment_date_key, payment_id, payment_method, payment_method_key, payment_status, payment_timestamp",
gold,fact_promotion_application,BASE TABLE,14,"customer_key, discount_amount, funding_type, gross_amount, order_id, order_item_id, order_key, platform_discount_amount, platform_funding_share, promotion_application_key, promotion_id, promotion_key, seller_discount_amount, seller_funding_share",
gold,fact_shipment,BASE TABLE,18,"created_ts, customer_id, customer_key, estimated_delivery_ts, handoff_ts, is_delivery_delayed, is_payment_blocked, order_id, order_key, shipment_created_date_key, shipment_id, shipment_key, shipment_status, shipment_status_key, shipping_city, shipping_method, shipping_method_key, shipping_region",
gold,feat_customer_90d,BASE TABLE,7,"created, customer_id, event_timestamp, f_customer_avg_order_value_90d, f_customer_distinct_categories_90d, f_customer_paid_revenue_90d, f_customer_total_orders_90d",
gold,feat_customer_unified,BASE TABLE,12,"created, customer_id, event_timestamp, f_customer_avg_order_value_90d, f_customer_distinct_categories_90d, f_customer_paid_revenue_90d, f_customer_total_orders_90d, f_stream_add_to_cart_60m, f_stream_cart_to_purchase_ratio_60m, f_stream_checkout_started_60m, f_stream_order_placed_60m, f_stream_views_60m",
gold,feat_stream_60m,BASE TABLE,8,"created, customer_id, event_timestamp, f_stream_add_to_cart_60m, f_stream_cart_to_purchase_ratio_60m, f_stream_checkout_started_60m, f_stream_order_placed_60m, f_stream_views_60m",
gold,obt_order_performance,BASE TABLE,32,"coupon_code, customer_city, customer_id, distinct_products, distinct_sellers, estimated_cost, estimated_margin, gross_merchandise_value, has_successful_payment, is_delivery_delayed, is_paid_order, is_payment_blocked, item_count, last_payment_ts, official_paid_revenue, order_discount_amount, order_gross_amount, order_id, order_net_amount, order_status, order_timestamp, payment_attempts, primary_category, promotion_id, segment, shipment_status, shipping_city, shipping_method, shipping_region, successful_payment_attempts, successful_payment_method, total_quantity",
silver,stg_catalog_events,VIEW,16,"category, created_ts, discount_rate, event_id, event_timestamp, event_topic, event_type, ingest_ts, payload, producer, product_id, promotion_id, schema_version, seller_id, snapshot_id, stock_on_hand",
silver,stg_commerce_events,VIEW,23,"anonymous_id, created_ts, customer_id, device_type, event_id, event_timestamp, event_topic, event_type, failure_reason, ingest_ts, order_id, order_net_amount, order_status, payload, payment_amount, payment_id, payment_method, primary_category, producer, product_id, schema_version, session_id, source",
silver,stg_customers,VIEW,13,"acquisition_channel, anonymous_id, city, city_code, country, created_ts, customer_id, ingest_ts, marketing_opt_in, preferred_device, region, segment, signup_ts",
silver,stg_fulfillment_events,VIEW,15,"created_ts, customer_id, event_id, event_timestamp, event_topic, event_type, ingest_ts, order_id, payload, producer, schema_version, shipment_id, shipment_status, shipping_city, shipping_method",
silver,stg_inventory_snapshots,VIEW,7,"ingest_ts, product_id, reserved_stock, seller_id, snapshot_id, snapshot_ts, stock_on_hand",
silver,stg_ops_events,VIEW,12,"burst_event_count, created_ts, duplicate_event_count, event_id, event_timestamp, event_topic, event_type, ingest_ts, late_event_count, payload, producer, schema_version",
silver,stg_order_items,VIEW,14,"created_ts, discount_amount, gross_amount, ingest_ts, net_amount, order_id, order_item_id, primary_category, primary_subcategory, product_id, promotion_id, quantity, seller_id, unit_price",
silver,stg_orders,VIEW,20,"anonymous_id, coupon_code, created_ts, customer_id, fulfillment_channel, ingest_ts, item_count, order_date, order_discount_amount, order_gross_amount, order_id, order_net_amount, order_timestamp, primary_category, promotion_id, session_id, shipping_city, shipping_method, shipping_region, status",
silver,stg_payments,VIEW,10,"amount, created_ts, customer_id, failure_reason, ingest_ts, order_id, payment_id, payment_method, payment_status, payment_timestamp",
silver,stg_product_category_map,VIEW,6,"assigned_ts, category, ingest_ts, is_primary, product_id, subcategory",
silver,stg_products,VIEW,13,"base_price, brand, category_attributes, created_ts, fulfillment_channel, ingest_ts, is_active, price_band, primary_category, primary_subcategory, product_id, product_name, seller_id",
silver,stg_promotions,VIEW,13,"category, created_ts, discount_rate, funding_detail, funding_type, ingest_ts, platform_funding_share, promotion_end_ts, promotion_id, promotion_name, promotion_start_ts, seller_funding_share, seller_id",
silver,stg_sellers,VIEW,13,"city, created_ts, fulfillment_speed_days, ingest_ts, inventory_reliability, is_official_store, price_band, primary_category, region, seller_id, seller_name, seller_rating, seller_tier",
silver,stg_shipments,VIEW,11,"created_ts, customer_id, estimated_delivery_ts, handoff_ts, ingest_ts, order_id, shipment_id, shipment_status, shipping_city, shipping_method, shipping_region",
